datetime_next15,actual_next15_kW,pred_baseline_kW,pred_model_kW
2025-04-05 10:45:00+05:00,875.0,845.7893693871138,874.23
2025-09-16 17:00:00+05:00,42.0,64.15809717562229,49.74
2025-03-14 11:00:00+05:00,864.0,837.8640839907994,863.5733333333334
2025-06-03 14:45:00+05:00,600.0,619.9187355921579,589.5866666666667
2025-05-21 06:00:00+05:00,61.0,39.391580312140306,60.973333333333336
2025-09-09 10:15:00+05:00,781.0,760.5925513767356,789.6433333333333
2025-07-10 11:45:00+05:00,303.0,270.21551747979237,269.4433333333333
2025-09-26 13:15:00+05:00,609.0,526.7966321854658,506.41333333333336
2025-06-20 07:45:00+05:00,212.0,184.02803879487507,205.57
2025-03-18 08:30:00+05:00,478.0,402.9640478680558,461.8433333333333
2025-03-03 16:45:00+05:00,180.0,237.52371521999618,178.56
2025-01-05 11:30:00+05:00,772.0,757.6205693531178,773.3033333333333
2025-10-21 08:00:00+05:00,375.0,322.7205332303742,373.69666666666666
2025-01-12 16:45:00+05:00,50.0,81.98998931732932,47.36333333333334
2025-02-10 12:45:00+05:00,710.0,717.9941423715466,709.42
2025-08-19 16:00:00+05:00,68.0,77.03668594463292,86.04666666666667
2025-05-04 15:15:00+05:00,368.0,484.1982231802767,437.51666666666665
2025-07-14 13:00:00+05:00,720.0,764.5551940748928,737.8633333333333
2025-06-22 11:30:00+05:00,597.0,522.8339894873086,509.82666666666665
2025-05-15 12:45:00+05:00,810.0,809.1349244291603,813.3
2025-02-20 09:15:00+05:00,585.0,534.72191758178,582.59
